TPS,Espacement,Densite,id plante,talle,rang,Phase,taille feuille,taille gaine,taille limbe
1000.0,50.0,400,1,1,2,mature,76.05065171232357,12.251646299114983,63.79900541320859
1000.0,50.0,400,1,1,3,mature,108.09349582751666,13.934300556964502,94.15919527055217
1000.0,50.0,400,1,1,4,mature,111.50249994000495,16.268365722169516,95.23413421783543
1000.0,50.0,400,1,1,5,mature,125.85950449310997,24.450496068595278,101.40900842451468
1000.0,50.0,400,1,1,6,mature,139.57161730138338,28.045809897213992,111.52580740416934
1000.0,50.0,400,1,1,7,mature,179.2797761449267,38.661136609425,140.61863953550161
1000.0,50.0,400,1,1,8,mature,195.7402306309589,43.821773430517354,151.91845720044157
1000.0,50.0,400,1,1,9,mature,236.04983054118946,54.63862280713251,181.41120773405686
1000.0,50.0,400,1,1,10,mature,262.2910017103932,63.6115365457525,198.6794651646406
1000.0,50.0,400,1,1,11,mature,262.2515683085565,63.544115511579975,198.7074527969764
1000.0,50.0,400,2,1,2,mature,76.05065171232357,12.251646299114983,63.79900541320859
1000.0,50.0,400,2,1,3,mature,108.09349582751666,13.934300556964502,94.15919527055217
1000.0,50.0,400,2,1,4,mature,111.50249994000495,16.268365722169516,95.23413421783543
1000.0,50.0,400,2,1,5,mature,125.85950449310997,24.450496068595278,101.40900842451468
1000.0,50.0,400,2,1,6,mature,139.57161730138338,28.045809897213992,111.52580740416934
1000.0,50.0,400,2,1,7,mature,179.2797761449267,38.661136609425,140.61863953550161
1000.0,50.0,400,2,1,8,mature,195.7402306309589,43.821773430517354,151.91845720044157
1000.0,50.0,400,2,1,9,mature,236.04983054118946,54.63862280713251,181.41120773405686
1000.0,50.0,400,2,1,10,mature,262.2910017103932,63.6115365457525,198.6794651646406
1000.0,50.0,400,2,1,11,mature,262.2515683085565,63.544115511579975,198.7074527969764
1000.0,50.0,400,3,1,2,mature,76.05065171232357,12.251646299114983,63.79900541320859
1000.0,50.0,400,3,1,3,mature,108.09349582751666,13.934300556964502,94.15919527055217
1000.0,50.0,400,3,1,4,mature,111.50249994000495,16.268365722169516,95.23413421783543
1000.0,50.0,400,3,1,5,mature,125.85950449310997,24.450496068595278,101.40900842451468
1000.0,50.0,400,3,1,6,mature,139.57161730138338,28.045809897213992,111.52580740416934
1000.0,50.0,400,3,1,7,mature,179.2797761449267,38.661136609425,140.61863953550161
1000.0,50.0,400,3,1,8,mature,195.7402306309589,43.821773430517354,151.91845720044157
1000.0,50.0,400,3,1,9,mature,236.04983054118946,54.63862280713251,181.41120773405686
1000.0,50.0,400,3,1,10,mature,262.2910017103932,63.6115365457525,198.6794651646406
1000.0,50.0,400,3,1,11,mature,262.2515683085565,63.544115511579975,198.7074527969764
1000.0,50.0,400,4,1,2,mature,71.59089464726827,12.205646634255418,59.38524801301286
1000.0,50.0,400,4,1,3,mature,101.40881809441079,13.69145972144886,87.71735837296194
1000.0,50.0,400,4,1,4,mature,104.55358110825603,17.125900215218063,87.42768089303799
1000.0,50.0,400,4,1,5,mature,116.7232429555864,23.400448728981104,93.32279422660528
1000.0,50.0,400,4,1,6,mature,133.30816313902167,27.14112895961908,106.16703417940259
1000.0,50.0,400,4,1,7,mature,160.64312587105425,35.41154478125073,125.23158108980351
1000.0,50.0,400,4,1,8,mature,175.335262155239,39.021308073127585,136.31395408211145
1000.0,50.0,400,4,1,9,mature,207.01248882772134,47.289364934230214,159.7231238934912
1000.0,50.0,400,4,1,10,mature,224.7836300732901,53.40145917975486,171.38217089353523
1000.0,50.0,400,4,1,11,mature,241.81091490935546,58.300125119032884,183.51078979032252
1000.0,50.0,400,4,1,12,mature,253.85965860595425,61.72845797022464,192.13120063572958
